mr,range_change,range_percent_change,range_passed
BrightnessRelation,0.007868051528930664,0.482558016155414,True
RotationRelation,0.006558656692504883,0.4022510974339954,True
TranslationRelation,0.0019674301147460938,0.12066509346124288,True
NoiseRelation,0.0001385211944580078,0.008495688233274614,True
BlurRelation,7.545948028564453e-05,0.004628029820708116,True
ContrastRelation,0.007915735244750977,0.48548252157134325,True
RainRelation,0.0017199516296386719,0.10548691035256981,True
SnowRelation,0.004403591156005859,0.27007807516107074,True
FogRelation,0.0023560523986816406,0.14449981260106665,True
DarkVisibiltyRelation,0.002310037612915039,0.1416776648746949,True
DarkVisibiltyRelation,0.007449030876159668,0.4568589248129353,True
TemporalSmoothnessRelation,,,
BrightnessRelation,0.006794929504394531,0.41671505835445327,True
RotationRelation,0.00731658935546875,0.44870707757127937,True
TranslationRelation,0.002811431884765625,0.17241768309177938,True
NoiseRelation,0.0003591775894165039,0.02202741176880645,True
BlurRelation,0.00015020370483398438,0.00921159602678265,True
ContrastRelation,0.006884336471557617,0.4221981512275381,True
RainRelation,0.0019344091415405273,0.11863219740206514,True
SnowRelation,0.0035473108291625977,0.21754719283251694,True
FogRelation,0.002588510513305664,0.15874650486155434,True
DarkVisibiltyRelation,0.0024095773696899414,0.14777300832488707,True
DarkVisibiltyRelation,0.0068476200103759766,0.4199464277543246,True
BrightnessRelation,0.008538961410522461,0.5236646493672656,True
RotationRelation,0.0065413713455200195,0.40115943466047693,True
TranslationRelation,0.0010257959365844727,0.06290847840018596,True
NoiseRelation,0.0002474784851074219,0.01517699025668635,True
BlurRelation,0.00011241436004638672,0.006893979678253965,True
ContrastRelation,0.008215904235839844,0.5038526823173523,True
RainRelation,0.0024439096450805664,0.14987643412925186,True
SnowRelation,0.0043381452560424805,0.2660432815178579,True
FogRelation,0.0025680065155029297,0.15748686132443998,True
DarkVisibiltyRelation,0.0024297237396240234,0.1490064621444033,True
DarkVisibiltyRelation,0.00695037841796875,0.42624240844212,True
BrightnessRelation,0.006160736083984375,0.3779829222449182,True
RotationRelation,0.011371970176696777,0.6977105431028247,True
TranslationRelation,0.0044623613357543945,0.27378163174137043,True
NoiseRelation,0.0004856586456298828,0.029796873553130744,True
BlurRelation,0.0004181861877441406,0.02565719990780134,True
ContrastRelation,0.006766319274902344,0.41513759029840475,True
RainRelation,0.001654505729675293,0.10150977124298026,True
SnowRelation,0.002586960792541504,0.15871918335210858,True
FogRelation,0.001804351806640625,0.11070335741290795,True
DarkVisibiltyRelation,0.0017440319061279297,0.10700251842962757,True
DarkVisibiltyRelation,0.00623011589050293,0.38223961846679405,True
BrightnessRelation,0.010118246078491211,0.6206337632452099,True
RotationRelation,0.003339409828186035,0.20483297921473248,True
TranslationRelation,0.0018333196640014648,0.11245230383548248,True
NoiseRelation,0.00036525726318359375,0.022404178356974988,True
BlurRelation,8.96453857421875e-05,0.005498675628082634,True
ContrastRelation,0.009806394577026367,0.6015053916453905,True
RainRelation,0.0021462440490722656,0.13164648405319115,True
SnowRelation,0.004920363426208496,0.3018056337089238,True
FogRelation,0.0021719932556152344,0.13322589088253403,True
DarkVisibiltyRelation,0.002142667770385742,0.1314271219935602,True
DarkVisibiltyRelation,0.007947444915771484,0.48748099304921944,True
BrightnessRelation,0.0037575960159301758,0.2296467726950356,True
RotationRelation,0.007833242416381836,0.4787313040129054,True
TranslationRelation,0.007947921752929688,0.48573997110254796,True
NoiseRelation,0.000901341438293457,0.055085791959238746,True
BlurRelation,0.000531315803527832,0.032471548044217306,True
ContrastRelation,0.004642486572265625,0.28372716334619674,True
RainRelation,0.0014376640319824219,0.08786333170591447,True
SnowRelation,0.0013649463653564453,0.08341916650354234,True
FogRelation,0.007976770401000977,0.48750306615004646,True
DarkVisibiltyRelation,0.007782936096191406,0.4756568159548709,True
DarkVisibiltyRelation,0.0007121562957763672,0.04352367691634602,True
BrightnessRelation,0.0029631853103637695,0.18125961541641356,True
RotationRelation,0.00783836841583252,0.4794771489912476,True
TranslationRelation,0.006485462188720703,0.39671915826988624,True
NoiseRelation,0.0010144710540771484,0.06205573187406684,True
BlurRelation,0.00023317337036132812,0.014263338607012305,True
ContrastRelation,0.0046852827072143555,0.28660122559887763,True
RainRelation,0.001330733299255371,0.08140166097652268,True
SnowRelation,0.0012224912643432617,0.0747804383511816,True
FogRelation,0.0065457820892333984,0.4004089585434794,True
DarkVisibiltyRelation,0.006379127502441406,0.3902146091709829,True
DarkVisibiltyRelation,0.0015108585357666016,0.09242001712948567,True
BrightnessRelation,0.006737947463989258,0.41252732584445456,True
RotationRelation,0.007814884185791016,0.4784622160054327,True
TranslationRelation,0.0031828880310058594,0.19487066275161774,True
NoiseRelation,0.00031507015228271484,0.01929000605440171,True
BlurRelation,0.00025391578674316406,0.015545861859960517,True
ContrastRelation,0.008271455764770508,0.5064155732465824,True
RainRelation,0.0022596120834350586,0.13834357350025897,True
SnowRelation,0.0021102428436279297,0.12919851955165307,True
FogRelation,0.005190014839172363,0.317755956712254,True
DarkVisibiltyRelation,0.005011320114135742,0.3068154651967231,True
DarkVisibiltyRelation,0.003695249557495117,0.22623973048594181,True
BrightnessRelation,0.00610804557800293,0.37409900274497,True
RotationRelation,0.006007671356201172,0.36795139041991304,True
TranslationRelation,0.007108926773071289,0.43539989714066785,True
NoiseRelation,0.0005953311920166016,0.036462204217736445,True
BlurRelation,0.00028192996978759766,0.01726734340707783,True
ContrastRelation,0.007071495056152344,0.43310731962277244,True
RainRelation,0.0020030736923217773,0.12268210201654495,True
SnowRelation,0.0036383867263793945,0.22283999497988266,True
FogRelation,0.004719734191894531,0.2890692009188268,True
DarkVisibiltyRelation,0.004438996315002441,0.27187486953461193,True
DarkVisibiltyRelation,0.004942536354064941,0.3027151479919044,True
BrightnessRelation,0.004953861236572266,0.3024838441953656,True
